arrangement,d,dim_S_d,dim_I_B_d,H_B_d,matrix_shape,matrix_rank,matrix_hash
84,0,1,0,1,28x1,1,9e602307596223b459b197c307b1b0f843cfd886f5f8ef49c7c636dc1b7c491a
84,1,4,0,4,56x4,4,313b650320eae6aa6bf32924e00528d9ba6984374ee8f36df3535cbba764e7a5
84,2,10,0,10,84x10,10,76553232d64c0d4efeeb3dd3a36f993608cc6c5880612b9011fc252992d99775
84,3,20,0,20,112x20,20,4f2a4b79d342ccf61c6c9db44f83667a2b6107ae198c1e01637b188606d13abb
84,4,35,1,34,112x35,34,09bde1c048d55de94484830004e2259d055b44c72a00a6d9053f2fed3284dea7
84,5,56,4,52,112x56,52,242897633e008f251b785c9a7f5c2de675e9126890ef68fee91329d16b8bce3a
84,6,84,10,74,112x84,74,354dcfb970b6affbd0ab66584f0a6ab40bac6fd94d4575a7459e9905e6fa5733
84,7,120,28,92,112x120,92,212164b3be295318a54f9852df8ac4b0b097ab32be7d003388437e02145e5ead
84,8,165,60,105,112x165,105,68730ea9f2dff4d36982da9ef02b1161a895ce3f0fb32cd1ee3c901557b3dd1f
