arrangement_id	authoritative_factor_count	authoritative_parse_status	canonical_signature_match	historical_factor_count	notes	refined_classification
64	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
65	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
66	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
67	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
68	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
69	8	STAGED_EXACT_8_FACTOR_PARSE	True	8		EXACT_CANONICAL_MATCH
70	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
71	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
72	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
73	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
74	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
75	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
76	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
77	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
78	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
79	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
80	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
81	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
82	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
83	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
84	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
85	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
86	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
87	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
88	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
89	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
90	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
91	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
92	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
93	8	STAGED_EXACT_8_FACTOR_PARSE	True	8		EXACT_CANONICAL_MATCH
94	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
95	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
96	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
97	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
98	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
99	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
100	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
101	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
102	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
103	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
104	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
105	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
106	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
107	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
108	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
109	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
110	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
111	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
112	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
113	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
114	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
115	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
116	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
117	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
118	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
119	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
120	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
121	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
122	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
123	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
124	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
125	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
126	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
127	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		PARAMETER_RENAMING_DIFFERENCE
128	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
129	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
130	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
131	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
132	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
133	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
134	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
135	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
136	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
137	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
138	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
139	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
140	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
141	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
142	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
143	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
144	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
145	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
146	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
147	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
148	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
149	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
150	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
151	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
152	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
153	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
154	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
155	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		PARAMETER_RENAMING_DIFFERENCE
156	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
157	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
158	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
159	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
160	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
161	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
162	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
163	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
164	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
165	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
166	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
167	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
168	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
169	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
170	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
171	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
172	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
173	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
174	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
175	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
176	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
177	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
178	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
179	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
180	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
181	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
182	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
183	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
184	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
185	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
186	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
187	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
188	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
189	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
190	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
191	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
192	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
193	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
194	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
195	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
196	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
197	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
198	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
199	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
200	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
201	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
202	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
203	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
204	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
205	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
206	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
207	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
208	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
