arrangement_id	ast_status	canonical_eight_factors	coefficient_domain	parse_warnings	raw_equation	top_level_factor_count
23	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(x+z)"", ""z"", ""t"", ""(A0*x+A0*y+A2*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(x + z)zt(A_{0}x + A_{0}y + A_{2}t)(x + y + z + t)	8
24	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(x+z)"", ""(A0*x+A2*y+A0*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(x + z)(A_{0}x + A_{2}y + A_{0}t)t(x + y + z + t)	8
25	parsed	"[""(x-y)"", ""x"", ""y"", ""(x+t)"", ""(y+t)"", ""z"", ""(A0*x+A1*y+A2*z)"", ""(z+t)""]"	Q(parameters)		(x - y)xy(x + t)(y + t)z(A_{0}x + A_{1}y + A_{2}z)(z + t)	8
26	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""((-A0+A1)*x+A1*z)"", ""(A0*x+A2*y+A0*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z((-A_{0} + A_{1})x + A_{1}z)(A_{0}x + A_{2}y + A_{0}t)t(x + y + z + t)	8
27	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""((-A0+A2)*x+A2*z)"", ""z"", ""t"", ""(A0*x+A2*y+A3*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)((-A_{0} + A_{2})x + A_{2}z)zt(A_{0}x + A_{2}y + A_{3}t)(x + y + z + t)	8
28	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""((-A2+A3)*x+A3*z)"", ""z"", ""(A2*x+A1*y+A3*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)((-A_{2} + A_{3})x + A_{3}z)z(A_{2}x + A_{1}y + A_{3}t)t(x + y + z + t)	8
29	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*z)"", ""z"", ""t"", ""(A0*x+A3*y+A4*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}z)zt(A_{0}x + A_{3}y + A_{4}t)(x + y + z + t)	8
30	parsed	"[""(x-y)"", ""x"", ""y"", ""(x+t)"", ""(y+t)"", ""z"", ""(z+t)"", ""(A0*x+A1*z+A2*t)""]"	Q(parameters)		(x - y)xy(x + t)(y + t)z(z + t)(A_{0}x + A_{1}z + A_{2}t)	8
31	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(x+z)"", ""z"", ""(A0*x+A2*y+A0*z+A3*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(x + z)z(A_{0}x + A_{2}y + A_{0}z + A_{3}t)t(x + y + z + t)	8
32	parsed	"[""(x-y)"", ""x"", ""y"", ""(y+t)"", ""(x+t)"", ""z"", ""(x-y-2*z-t)"", ""(z+t)""]"	Q		(x - y)xy(y + t)(x + t)z(x - y - 2z - t)(z + t)	8
