arrangement_id	ast_status	canonical_eight_factors	coefficient_domain	parse_warnings	raw_equation	top_level_factor_count
86	parsed	"[""x"", ""y"", ""(A1*x+A0*y)"", ""(A1*x+A2*y+A3*z)"", ""z"", ""t"", ""(A1*x+A2*y+A4*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{1}x + A_{0}y)(A_{1}x + A_{2}y + A_{3}z)zt(A_{1}x + A_{2}y + A_{4}t)(x + y + z + t)	8
87	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A0*y+A2*z)"", ""z"", ""t"", ""(A0*x+A3*y+A4*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{0}y + A_{2}z)zt(A_{0}x + A_{3}y + A_{4}t)(x + y + z + t)	8
88	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*y+A3*z)"", ""z"", ""t"", ""(A0*x+A4*y+A5*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}y + A_{3}z)zt(A_{0}x + A_{4}y + A_{5}t)(x + y + z + t)	8
89	parsed	"[""x"", ""(A0*x+A1*y)"", ""y"", ""(x+t)"", ""(y+t)"", ""z"", ""(A0*x+A2*z-A1*t)"", ""(z+t)""]"	Q(parameters)		x(A_{0}x + A_{1}y)y(x + t)(y + t)z(A_{0}x + A_{2}z - A_{1}t)(z + t)	8
90	parsed	"[""x"", ""(x+y)"", ""y"", ""(A0*x+A1*y+A1*z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A2*y+A2*z+A3*t)""]"	Q(parameters)		x(x + y)y(A_{0}x + A_{1}y + A_{1}z)zt(x + y + z + t)(A_{0}x + A_{2}y + A_{2}z + A_{3}t)	8
91	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*y+A2*z)"", ""z"", ""(A0*x+A3*y+A3*z+A4*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}y + A_{2}z)z(A_{0}x + A_{3}y + A_{3}z + A_{4}t)t(x + y + z + t)	8
92	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A0*y+A2*z)"", ""(A0*x+A0*y+A3*z+A4*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{0}y + A_{2}z)(A_{0}x + A_{0}y + A_{3}z + A_{4}t)t(x + y + z + t)	8
93	parsed	"[""x"", ""y"", ""(x+y)"", ""(y+t)"", ""(x+t)"", ""z"", ""(x+y-z+t)"", ""(z+t)""]"	Q		xy(x + y)(y + t)(x + t)z(x + y - z + t)(z + t)	8
94	parsed	"[""x"", ""y"", ""(x+y)"", ""z"", ""(A0*x+A1*y+A0*z)"", ""(A1*x+(-A0+A1)*z+A1*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(x + y)z(A_{0}x + A_{1}y + A_{0}z)(A_{1}x + (-A_{0} + A_{1})z + A_{1}t)t(x + y + z + t)	8
95	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(y+t)"", ""(x+t)"", ""z"", ""(A0*x+A1*y-A0*z+A1*t)"", ""(z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(y + t)(x + t)z(A_{0}x + A_{1}y - A_{0}z + A_{1}t)(z + t)	8
96	parsed	"[""x"", ""y"", ""(x+y)"", ""(A0*x+A1*z+A0*t)"", ""(A1*x+A0*y+A1*z+A0*t)"", ""z"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(x + y)(A_{0}x + A_{1}z + A_{0}t)(A_{1}x + A_{0}y + A_{1}z + A_{0}t)zt(x + y + z + t)	8
97	parsed	"[""x"", ""y"", ""(x+y)"", ""(A0*x+A1*z+A0*t)"", ""(A0*y+A1*z+A0*t)"", ""z"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(x + y)(A_{0}x + A_{1}z + A_{0}t)(A_{0}y + A_{1}z + A_{0}t)zt(x + y + z + t)	8
98	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(y+t)"", ""(x+t)"", ""z"", ""(x+y-z+t)"", ""(z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(y + t)(x + t)z(x + y - z + t)(z + t)	8
99	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(y+t)"", ""(x+t)"", ""z"", ""(A0*x+A0*y+A1*z+A0*t)"", ""(z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(y + t)(x + t)z(A_{0}x + A_{0}y + A_{1}z + A_{0}t)(z + t)	8
100	parsed	"[""x"", ""(A0*x+A1*y-A0*z)"", ""(-A1*x+A1*y-A0*z)"", ""y"", ""z"", ""(x+t)"", ""(y+t)"", ""(z+t)""]"	Q(parameters)		x(A_{0}x + A_{1}y - A_{0}z)(-A_{1}x + A_{1}y - A_{0}z)yz(x + t)(y + t)(z + t)	8
101	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(y+t)"", ""(x+t)"", ""z"", ""(A0*x+A2*y-A0*z+A2*t)"", ""(z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(y + t)(x + t)z(A_{0}x + A_{2}y - A_{0}z + A_{2}t)(z + t)	8
102	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(y+t)"", ""(x+t)"", ""z"", ""(A0*x+A2*y+A1*z+A2*t)"", ""(z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(y + t)(x + t)z(A_{0}x + A_{2}y + A_{1}z + A_{2}t)(z + t)	8
103	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A0*y+A2*z)"", ""((-A0+A1)*x+A1*z+(-A0+A1)*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{0}y + A_{2}z)((-A_{0} + A_{1})x + A_{1}z + (-A_{0} + A_{1})t)t(x + y + z + t)	8
104	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(y+t)"", ""(x+t)"", ""z"", ""(A0*x+A1*y+A2*z+A1*t)"", ""(z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(y + t)(x + t)z(A_{0}x + A_{1}y + A_{2}z + A_{1}t)(z + t)	8
105	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*y+A2*z)"", ""t"", ""((-A0+A2)*x+(-A0+A2)*z+A2*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}y + A_{2}z)t((-A_{0} + A_{2})x + (-A_{0} + A_{2})z + A_{2}t)(x + y + z + t)	8
106	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*y+A2*z)"", ""t"", ""((-A0+A1)*x+A1*z+(-A0+A1)*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}y + A_{2}z)t((-A_{0} + A_{1})x + A_{1}z + (-A_{0} + A_{1})t)(x + y + z + t)	8
107	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(y+t)"", ""(x+t)"", ""z"", ""(A0*x+(A0+A2)*y+A2*z+(A0+A2)*t)"", ""(z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(y + t)(x + t)z(A_{0}x + (A_{0} + A_{2})y + A_{2}z + (A_{0} + A_{2})t)(z + t)	8
108	parsed	"[""x"", ""((-A0+A2)*x+A2*y)"", ""y"", ""z"", ""(A0*x+A0*y+A1*z)"", ""(A0*x+A1*z+A2*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		x((-A_{0} + A_{2})x + A_{2}y)yz(A_{0}x + A_{0}y + A_{1}z)(A_{0}x + A_{1}z + A_{2}t)t(x + y + z + t)	8
109	parsed	"[""x"", ""(x+y)"", ""y"", ""z"", ""((A0+A1-A2)*x+A0*y+A0*z)"", ""t"", ""(A1*x+A2*z+(-A0+A2)*t)"", ""(x+y+z+t)""]"	Q(parameters)		x(x + y)yz((A_{0} + A_{1} - A_{2})x + A_{0}y + A_{0}z)t(A_{1}x + A_{2}z + (-A_{0} + A_{2})t)(x + y + z + t)	8
110	parsed	"[""x"", ""(A0*x+A1*y+A0*z)"", ""(A1*x+A1*y+A0*z)"", ""y"", ""z"", ""(A0*x+A2*y+A2*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		x(A_{0}x + A_{1}y + A_{0}z)(A_{1}x + A_{1}y + A_{0}z)yz(A_{0}x + A_{2}y + A_{2}t)t(x + y + z + t)	8
111	parsed	"[""x"", ""y"", ""((A0-A1)*x+A1*y)"", ""(y+t)"", ""(x+t)"", ""z"", ""(A0*x+A1*y+A2*z+A1*t)"", ""(z+t)""]"	Q(parameters)		xy((A_{0} - A_{1})x + A_{1}y)(y + t)(x + t)z(A_{0}x + A_{1}y + A_{2}z + A_{1}t)(z + t)	8
112	parsed	"[""x"", ""(x+y)"", ""y"", ""(A0*x+A1*y+A1*z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A1*y+A0*z+A2*t)""]"	Q(parameters)		x(x + y)y(A_{0}x + A_{1}y + A_{1}z)zt(x + y + z + t)(A_{0}x + A_{1}y + A_{0}z + A_{2}t)	8
113	parsed	"[""x"", ""y"", ""((A1-A2)*x-A2*y)"", ""z"", ""(A0*x+(A0+A1)*y+A0*z)"", ""t"", ""(A1*x+A2*z+(A0+A1)*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy((A_{1} - A_{2})x - A_{2}y)z(A_{0}x + (A_{0} + A_{1})y + A_{0}z)t(A_{1}x + A_{2}z + (A_{0} + A_{1})t)(x + y + z + t)	8
114	parsed	"[""x"", ""y"", ""(x+y)"", ""z"", ""(A0*x+A1*y+A2*z)"", ""((A0-A1)*x+(-A1+A2)*z+(A0-A1)*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(x + y)z(A_{0}x + A_{1}y + A_{2}z)((A_{0} - A_{1})x + (-A_{1} + A_{2})z + (A_{0} - A_{1})t)t(x + y + z + t)	8
115	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(y+t)"", ""(x+t)"", ""z"", ""(A0*x+A0*y+A2*z+A0*t)"", ""(z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(y + t)(x + t)z(A_{0}x + A_{0}y + A_{2}z + A_{0}t)(z + t)	8
116	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A0*y+A2*z)"", ""t"", ""(A0*x+A0*z+A3*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{0}y + A_{2}z)t(A_{0}x + A_{0}z + A_{3}t)(x + y + z + t)	8
117	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A2*x+A1*y+A2*z)"", ""z"", ""t"", ""(A0*x+A1*y+A2*z+A3*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{2}x + A_{1}y + A_{2}z)zt(A_{0}x + A_{1}y + A_{2}z + A_{3}t)(x + y + z + t)	8
118	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(x+t)"", ""(y+t)"", ""z"", ""(z+t)"", ""(A0*x+A2*y+A3*z+(A0+A2)*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(x + t)(y + t)z(z + t)(A_{0}x + A_{2}y + A_{3}z + (A_{0} + A_{2})t)	8
119	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A2*x+(-A1+A2)*y+A2*z)"", ""z"", ""t"", ""((-A0+A2)*x+(-A1+A2)*y+A2*z+A3*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{2}x + (-A_{1} + A_{2})y + A_{2}z)zt((-A_{0} + A_{2})x + (-A_{1} + A_{2})y + A_{2}z + A_{3}t)(x + y + z + t)	8
120	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""((-A2+2*A3)*x+2*A3*y+A3*z)"", ""z"", ""(A2*x+2*A3*y+A3*z+2*A3*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)((-A_{2} + 2A_{3})x + 2A_{3}y + A_{3}z)z(A_{2}x + 2A_{3}y + A_{3}z + 2A_{3}t)t(x + y + z + t)	8
121	parsed	"[""x"", ""y"", ""(A2*x+A0*y)"", ""z"", ""(A2*x+A2*y+A1*z)"", ""(A2*x+A3*z+A2*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{2}x + A_{0}y)z(A_{2}x + A_{2}y + A_{1}z)(A_{2}x + A_{3}z + A_{2}t)t(x + y + z + t)	8
122	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*y+A2*z)"", ""z"", ""t"", ""(x+y+z+t)"", ""((A0-A2)*y+A3*z+A0*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}y + A_{2}z)zt(x + y + z + t)((A_{0} - A_{2})y + A_{3}z + A_{0}t)	8
123	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*y+A2*z)"", ""z"", ""t"", ""(x+y+z+t)"", ""((A0-A1)*y+A0*z+A3*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}y + A_{2}z)zt(x + y + z + t)((A_{0} - A_{1})y + A_{0}z + A_{3}t)	8
124	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(x+t)"", ""(y+t)"", ""z"", ""(z+t)"", ""(A0*x+A1*y+A2*z+A3*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(x + t)(y + t)z(z + t)(A_{0}x + A_{1}y + A_{2}z + A_{3}t)	8
125	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""((-A0+A3)*x+A3*y+A3*z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A2*z+A3*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)((-A_{0} + A_{3})x + A_{3}y + A_{3}z)zt(x + y + z + t)(A_{0}x + A_{2}z + A_{3}t)	8
126	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*y+A2*z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A0*z+A3*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}y + A_{2}z)zt(x + y + z + t)(A_{0}x + A_{0}z + A_{3}t)	8
127	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*A3*x+(A0*A1+A0*A3-A1*A2)*y+A0*A3*z)"", ""z"", ""t"", ""(A0**2*A3*x+(A0*A1*A2+A0*A2*A3-A1*A2**2)*y+A0*A2*A3*z+A0*A3**2*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}A_{3}x + (A_{0}A_{1} + A_{0}A_{3} - A_{1}A_{2})y + A_{0}A_{3}z)zt(A_{0}^2A_{3}x + (A_{0}A_{1}A_{2} + A_{0}A_{2}A_{3} - A_{1}A_{2}^2)y + A_{0}A_{2}A_{3}z + A_{0}A_{3}^2t)(x + y + z + t)	8
128	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A3*x+A2*y+A3*z)"", ""z"", ""(A0*x+A2*y+A3*z+A2*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{3}x + A_{2}y + A_{3}z)z(A_{0}x + A_{2}y + A_{3}z + A_{2}t)t(x + y + z + t)	8
129	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*y+A2*z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A0*y+A2*z+A3*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}y + A_{2}z)zt(x + y + z + t)(A_{0}x + A_{0}y + A_{2}z + A_{3}t)	8
130	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A2*x+(A1+A3)*y+A2*z)"", ""z"", ""t"", ""((A0+A3)*x+(A1+A3)*y+A2*z+A3*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{2}x + (A_{1} + A_{3})y + A_{2}z)zt((A_{0} + A_{3})x + (A_{1} + A_{3})y + A_{2}z + A_{3}t)(x + y + z + t)	8
131	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*y+A2*z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A2*y+A3*z+A4*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}y + A_{2}z)zt(x + y + z + t)(A_{0}x + A_{2}y + A_{3}z + A_{4}t)	8
132	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*y+A3*z)"", ""(A0*x+A2*y+A2*z+A4*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}y + A_{3}z)(A_{0}x + A_{2}y + A_{2}z + A_{4}t)t(x + y + z + t)	8
133	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*y+A2*z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A3*y+A0*z+A4*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}y + A_{2}z)zt(x + y + z + t)(A_{0}x + A_{3}y + A_{0}z + A_{4}t)	8
134	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*y+A3*z)"", ""z"", ""t"", ""(A2*y+A3*z+A4*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}y + A_{3}z)zt(A_{2}y + A_{3}z + A_{4}t)(x + y + z + t)	8
135	parsed	"[""x"", ""y"", ""(A1*x+A0*y)"", ""(A1*x+A2*y+A1*z)"", ""z"", ""t"", ""(A3*x+A2*y+A1*z+A4*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{1}x + A_{0}y)(A_{1}x + A_{2}y + A_{1}z)zt(A_{3}x + A_{2}y + A_{1}z + A_{4}t)(x + y + z + t)	8
136	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*y+A2*z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A3*z+A4*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}y + A_{2}z)zt(x + y + z + t)(A_{0}x + A_{3}z + A_{4}t)	8
137	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A2*x+A1*y+A1*z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A1*y+A3*z+A4*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{2}x + A_{1}y + A_{1}z)zt(x + y + z + t)(A_{1}y + A_{3}z + A_{4}t)	8
138	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*y+A2*z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A0*y+A3*z+A4*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}y + A_{2}z)zt(x + y + z + t)(A_{0}x + A_{0}y + A_{3}z + A_{4}t)	8
139	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*y+A2*z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A3*y+A4*z+A5*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}y + A_{2}z)zt(x + y + z + t)(A_{0}x + A_{3}y + A_{4}z + A_{5}t)	8
140	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*y+A3*z)"", ""(A0*x+A0*y+A4*z+A5*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}y + A_{3}z)(A_{0}x + A_{0}y + A_{4}z + A_{5}t)t(x + y + z + t)	8
141	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*y+A3*z)"", ""(A0*x+A2*y+A4*z+A5*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}y + A_{3}z)(A_{0}x + A_{2}y + A_{4}z + A_{5}t)t(x + y + z + t)	8
142	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*y+A3*z)"", ""(A0*x+A4*y+A4*z+A5*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}y + A_{3}z)(A_{0}x + A_{4}y + A_{4}z + A_{5}t)t(x + y + z + t)	8
143	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*y+A3*z)"", ""(A0*x+A4*y+A5*z+A6*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}y + A_{3}z)(A_{0}x + A_{4}y + A_{5}z + A_{6}t)t(x + y + z + t)	8
144	parsed	"[""x"", ""y"", ""(x+y)"", ""z"", ""(A0*x+A1*z+A0*t)"", ""t"", ""(A0*x+A0*z+(2*A0-A1)*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(x + y)z(A_{0}x + A_{1}z + A_{0}t)t(A_{0}x + A_{0}z + (2A_{0} - A_{1})t)(x + y + z + t)	8
145	parsed	"[""(A0*y+A1*z+A2*t)"", ""x"", ""(A2*x+A0*y+A1*z+A2*t)"", ""y"", ""(y+t)"", ""z"", ""(z+t)"", ""(x+t)""]"	Q(parameters)		(A_{0}y + A_{1}z + A_{2}t)x(A_{2}x + A_{0}y + A_{1}z + A_{2}t)y(y + t)z(z + t)(x + t)	8
146	parsed	"[""x"", ""y"", ""(x+y)"", ""z"", ""(A0*x+A1*z+A0*t)"", ""t"", ""(A0*x+A2*z+A3*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(x + y)z(A_{0}x + A_{1}z + A_{0}t)t(A_{0}x + A_{2}z + A_{3}t)(x + y + z + t)	8
147	parsed	"[""(A0*y+A1*z+A2*t)"", ""x"", ""(A3*x+A0*y+A1*z+A2*t)"", ""y"", ""(y+t)"", ""z"", ""(z+t)"", ""(x+t)""]"	Q(parameters)		(A_{0}y + A_{1}z + A_{2}t)x(A_{3}x + A_{0}y + A_{1}z + A_{2}t)y(y + t)z(z + t)(x + t)	8
148	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*z+A0*t)"", ""t"", ""((-A0+A1)*x+A1*z+A3*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}z + A_{0}t)t((-A_{0} + A_{1})x + A_{1}z + A_{3}t)(x + y + z + t)	8
149	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*z+A0*t)"", ""z"", ""t"", ""(A0*x+A3*z+A4*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}z + A_{0}t)zt(A_{0}x + A_{3}z + A_{4}t)(x + y + z + t)	8
150	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*z+A3*t)"", ""(A0*x+A4*z+A5*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}z + A_{3}t)(A_{0}x + A_{4}z + A_{5}t)t(x + y + z + t)	8
151	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""t"", ""(A0*x+A0*y+A2*z+A3*t)"", ""(A0*x+A0*y+A4*z+A5*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)zt(A_{0}x + A_{0}y + A_{2}z + A_{3}t)(A_{0}x + A_{0}y + A_{4}z + A_{5}t)(x + y + z + t)	8
152	parsed	"[""x"", ""(x+2*y)"", ""y"", ""z"", ""(x+z+2*t)"", ""t"", ""(x+y+z+t)"", ""(A0*x+2*A0*y+A1*z+2*A0*t)""]"	Q(parameters)		x(x + 2y)yz(x + z + 2t)t(x + y + z + t)(A_{0}x + 2A_{0}y + A_{1}z + 2A_{0}t)	8
153	parsed	"[""x"", ""(x+y)"", ""y"", ""z"", ""t"", ""(A1*x+A0*z-A1*t)"", ""(x+y+z+t)"", ""(A1*y+(-A0+A1)*z+A1*t)""]"	Q(parameters)		x(x + y)yzt(A_{1}x + A_{0}z - A_{1}t)(x + y + z + t)(A_{1}y + (-A_{0} + A_{1})z + A_{1}t)	8
154	parsed	"[""x"", ""y"", ""(x+y)"", ""z"", ""t"", ""(A0*x+A0*z+A1*t)"", ""(A0*y+A1*z+A0*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(x + y)zt(A_{0}x + A_{0}z + A_{1}t)(A_{0}y + A_{1}z + A_{0}t)(x + y + z + t)	8
155	parsed	"[""x"", ""y"", ""(x+y)"", ""z"", ""(A0*x+A0*z+A1*t)"", ""t"", ""(A0**2*x+A0*A1*y+(A0**2-A0*A1+A1**2)*z+A0*A1*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(x + y)z(A_{0}x + A_{0}z + A_{1}t)t(A_{0}^2x + A_{0}A_{1}y + (A_{0}^2 - A_{0}A_{1} + A_{1}^2)z + A_{0}A_{1}t)(x + y + z + t)	8
156	parsed	"[""x"", ""y"", ""(x+y)"", ""z"", ""t"", ""(A0*x+A1*z+A0*t)"", ""(A2*y+A1*z+A2*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(x + y)zt(A_{0}x + A_{1}z + A_{0}t)(A_{2}y + A_{1}z + A_{2}t)(x + y + z + t)	8
157	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""t"", ""(-A0*x-A0*z+A1*t)"", ""(A1*y+A2*z+A1*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)zt(-A_{0}x - A_{0}z + A_{1}t)(A_{1}y + A_{2}z + A_{1}t)(x + y + z + t)	8
158	parsed	"[""x"", ""y"", ""(x+y)"", ""z"", ""(A0*x+A0*z+A1*t)"", ""t"", ""(A0*x+A1*y+A2*z+A1*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(x + y)z(A_{0}x + A_{0}z + A_{1}t)t(A_{0}x + A_{1}y + A_{2}z + A_{1}t)(x + y + z + t)	8
159	parsed	"[""x"", ""(x+y)"", ""y"", ""z"", ""t"", ""(A0*x+A1*z+A2*t)"", ""(x+y+z+t)"", ""(A0*y+(A0-A1)*z+A0*t)""]"	Q(parameters)		x(x + y)yzt(A_{0}x + A_{1}z + A_{2}t)(x + y + z + t)(A_{0}y + (A_{0} - A_{1})z + A_{0}t)	8
