category,arrangement_a,arrangement_b,same_singularity_profile,same_hodge_profile,same_modular_form,modular_form_a,modular_form_b,singularity_profile_a,singularity_profile_b,hodge_profile_a,hodge_profile_b,note,flag_83_vs_84,flag_84_vs_84a,flag_2_vs_85,flag_hodge_cluster_3_51
same_hodge_different_singularity,26,46,False,True,True,,,p3=20|p4_0=2|p4_1=6|p5_0=0|p5_1=0|p5_2=1|l3=2,p3=23|p4_0=1|p4_1=3|p5_0=1|p5_1=1|p5_2=0|l3=1,h12=3|h11=47|euler=88,h12=3|h11=47|euler=88,,False,False,False,False
same_hodge_different_singularity,27,34,False,True,True,,,p3=16|p4_0=3|p4_1=6|p5_0=0|p5_1=0|p5_2=1|l3=2,p3=13|p4_0=2|p4_1=8|p5_0=0|p5_1=1|p5_2=0|l3=2,h12=2|h11=48|euler=92,h12=2|h11=48|euler=92,,False,False,False,False
same_hodge_different_singularity,27,41,False,True,True,,,p3=16|p4_0=3|p4_1=6|p5_0=0|p5_1=0|p5_2=1|l3=2,p3=22|p4_0=3|p4_1=1|p5_0=0|p5_1=2|p5_2=0|l3=1,h12=2|h11=48|euler=92,h12=2|h11=48|euler=92,,False,False,False,False
same_hodge_different_singularity,27,47,False,True,True,,,p3=16|p4_0=3|p4_1=6|p5_0=0|p5_1=0|p5_2=1|l3=2,p3=19|p4_0=2|p4_1=3|p5_0=1|p5_1=1|p5_2=0|l3=1,h12=2|h11=48|euler=92,h12=2|h11=48|euler=92,,False,False,False,False
same_hodge_different_singularity,28,42,False,True,True,,,p3=12|p4_0=4|p4_1=6|p5_0=0|p5_1=0|p5_2=1|l3=2,p3=18|p4_0=4|p4_1=1|p5_0=0|p5_1=2|p5_2=0|l3=1,h12=1|h11=49|euler=96,h12=1|h11=49|euler=96,,False,False,False,False
same_hodge_different_singularity,29,44,False,True,True,,,p3=18|p4_0=0|p4_1=6|p5_0=0|p5_1=2|p5_2=0|l3=2,p3=32|p4_0=0|p4_1=1|p5_0=1|p5_1=2|p5_2=0|l3=1,h12=3|h11=51|euler=96,h12=3|h11=51|euler=96,,False,False,False,True
same_hodge_different_singularity,32,39,False,True,True,,,p3=21|p4_0=0|p4_1=8|p5_0=0|p5_1=1|p5_2=0|l3=2,p3=30|p4_0=1|p4_1=1|p5_0=0|p5_1=2|p5_2=0|l3=1,h12=4|h11=46|euler=84,h12=4|h11=46|euler=84,,False,False,False,False
same_hodge_different_singularity,32,45,False,True,True,,,p3=21|p4_0=0|p4_1=8|p5_0=0|p5_1=1|p5_2=0|l3=2,p3=27|p4_0=0|p4_1=3|p5_0=1|p5_1=1|p5_2=0|l3=1,h12=4|h11=46|euler=84,h12=4|h11=46|euler=84,,False,False,False,False
same_hodge_different_singularity,33,40,False,True,True,,,p3=17|p4_0=1|p4_1=8|p5_0=0|p5_1=1|p5_2=0|l3=2,p3=26|p4_0=2|p4_1=1|p5_0=0|p5_1=2|p5_2=0|l3=1,h12=3|h11=47|euler=88,h12=3|h11=47|euler=88,,False,False,False,False
same_hodge_different_singularity,33,46,False,True,True,,,p3=17|p4_0=1|p4_1=8|p5_0=0|p5_1=1|p5_2=0|l3=2,p3=23|p4_0=1|p4_1=3|p5_0=1|p5_1=1|p5_2=0|l3=1,h12=3|h11=47|euler=88,h12=3|h11=47|euler=88,,False,False,False,False
