example_id,source_arrangement,verification_status,expected_node_count,double_line_count,G1_avoids_multiple_points,G2_squarefree_on_double_lines,G3_global_singular_locus_checked,notes
smoothing_bridge_84,84,degree112_certified,112,28,True,True,False,"degree112_certified: (G1), (G2) verified over Q; saturated Jacobian degree 112 certified; reducedness and Hessian-rank checks pending."
smoothing_bridge_84a,84a,degree112_certified,112,28,True,True,False,"degree112_certified: (G1), (G2) verified over Q; saturated Jacobian degree 112 certified; reducedness and Hessian-rank checks pending."
