fiber_id	fingerprint	member_count	members	regime	inventory_signature	hodge_signature	rank_Q_values	rank_F2_values	integral_signature_count	equivariant_signature_count	automorphism_group_orders
local_fiber_001	local:13fabb8b620a6058757ac06ee0c489b65752d5160f03ec714812b1903b4387c6	1	1	TRUNCATED_TWO_STRATUM	p3=4;p4_0=5;p4_1=0;p5_0=4;p5_1=0;p5_2=0;l3=4	h12=1;h11=69;euler=136	13	11	1	1	8
local_fiber_002	local:99d070b192df53ef332ea22e557164d074febcb04bc653c89ccabfe27675ccce	1	3	TRUNCATED_TWO_STRATUM	p3=8;p4_0=6;p4_1=0;p5_0=3;p5_1=0;p5_2=0;l3=3	h12=3;h11=59;euler=112	16	13	1	1	6
local_fiber_003	local:960b87e600d23c7faec38121f73d969e922c0077dc1c32b1c22b935de0821c24	1	19	TRUNCATED_TWO_STRATUM	p3=9;p4_0=8;p4_1=0;p5_0=2;p5_1=0;p5_2=0;l3=2	h12=4;h11=50;euler=92	18	16	1	1	4
local_fiber_004	local:512c3b6c5583f686b7888443d96d6254c760a5865f0b1769e25dad905bf99975	1	32	TRUNCATED_TWO_STRATUM	p3=8;p4_0=11;p4_1=0;p5_0=1;p5_1=0;p5_2=0;l3=2	h12=4;h11=46;euler=84	20	18	1	1	4
local_fiber_005	local:1b3b0d3929dc47c8a1a7b18278833368cf1f2220cc002446e8cf6946a1f207e4	1	69	TRUNCATED_TWO_STRATUM	p3=14;p4_0=6;p4_1=0;p5_0=2;p5_1=0;p5_2=0;l3=1	h12=4;h11=38;euler=68	21	20	1	1	4
local_fiber_006	local:d689892f18909ee09390855bbe914f1af6c790faa8afbdeeae9eeeb3010b5a61	5	84,84a,239,240,241	CLEAN_TWO_STRATUM	p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	UNKNOWN | h12=0;h11=40;euler=80	24,26	21,23,24	3	5	6,24,32
local_fiber_007	local:f07507d334e098cd2c32eb849be75fd0b6c5819b90f93f0bb2196d81fca3d4d0	1	93	TRUNCATED_TWO_STRATUM	p3=13;p4_0=9;p4_1=0;p5_0=1;p5_1=0;p5_2=0;l3=1	UNKNOWN	23	21	1	1	4
local_fiber_008	local:243745ea368d3b67b2e10f8ab97de620180be2732a15f3a0f7810bb7ee71eeb3	1	238	CLEAN_TWO_STRATUM	p3=8;p4_0=12;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	UNKNOWN	20	16	1	1	192
local_fiber_009	local:db3b63a987de5ecdb1ae6bf44089341f178573db1bde47c43648049add61f6bf	1	245	CLEAN_TWO_STRATUM	p3=20;p4_0=9;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	UNKNOWN	27	24	1	1	2
