fiber_id	source_level	target_level	source_fingerprint	member_count	members	inventory_signature	hodge_signature	target_signature_count	target_classes	recovery_status
integral_to_equivariant_006	integral	equivariant	integral:0f35cfa13ab162d82ff72b9eefe774ef9525849e3b621dab8bbf942c57f53985	2	84,240	p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	UNKNOWN | h12=0;h11=40;euler=80	2	equivariant:a356b7214e1a3bfad56c34f6a7dd420794ae0334918bea5ff0bf8d6292eee697[84]; equivariant:1a02b414b33e84e6a398b214bc2682820f5dc5f7a593654b29418954633bf73b[240]	equivariant_separates_integral_fiber
integral_to_equivariant_007	integral	equivariant	integral:6e71b52edeb7fb43a2d3c314484508c54ae48ffb13fe4d4236e29aabbd1f003c	2	84a,239	p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	UNKNOWN | h12=0;h11=40;euler=80	2	equivariant:cec0bc22101ff26a383597a0d675a770fa765fb684bc11b28a56d13fa44082b1[84a]; equivariant:0d480f7fd07bcb080743f003b1309d6316290817ea1177055ea1514979fd13df[239]	equivariant_separates_integral_fiber
