arrangement,p3,p4_0,p4_1,p5_0,p5_1,p5_2,l3,h12,h11,euler,rigid,modular_form,is_rigid_example,is_h12_one_parameter_family,is_nodal_conifold_candidate,has_modular_form_label,has_explicit_paper_equation,hodgecy_role
1,8,0,4,0,0,4,4,1,69,136,False,,False,True,False,False,True,family_operator_candidate
2,4,1,4,0,0,4,4,0,70,140,True,8k4A,True,False,False,True,True,rigid_arithmetic_control
3,20,0,3,0,0,3,3,3,59,112,False,,False,False,False,False,False,unknown
4,16,1,3,0,0,3,3,2,60,116,False,,False,False,False,False,False,unknown
5,12,2,3,0,0,3,3,1,61,120,False,,False,True,False,False,True,family_operator_candidate
6,8,3,3,0,0,3,3,0,62,124,True,32k4C,True,False,False,True,True,rigid_arithmetic_control
7,16,0,7,0,0,2,3,3,55,104,False,,False,False,False,False,False,unknown
8,12,1,7,0,0,2,3,2,56,108,False,,False,False,False,False,False,unknown
9,13,0,5,0,1,2,3,2,60,116,False,,False,False,False,False,False,unknown
10,8,2,7,0,0,2,3,1,57,112,False,,False,True,False,False,True,family_operator_candidate
11,9,1,5,0,1,2,3,1,61,120,False,,False,True,False,False,True,family_operator_candidate
12,12,0,11,0,0,1,3,3,51,96,False,,False,False,False,False,False,unknown
13,9,0,9,0,1,1,3,2,56,108,False,,False,False,False,False,False,unknown
14,6,0,7,0,2,1,3,1,61,120,False,,False,True,False,False,True,family_operator_candidate
15,18,0,6,1,0,1,2,3,51,96,False,,False,False,False,False,False,unknown
16,22,0,2,0,2,1,2,3,55,104,False,,False,False,False,False,False,unknown
17,18,1,2,0,2,1,2,2,56,108,False,,False,False,False,False,False,unknown
18,14,2,2,0,2,1,2,1,57,112,False,,False,True,False,False,True,family_operator_candidate
19,25,0,4,0,1,1,2,4,50,92,False,,False,False,False,False,False,unknown
20,21,1,4,0,1,1,2,3,51,96,False,,False,False,False,False,False,unknown
21,17,2,4,0,1,1,2,2,52,100,False,,False,False,False,False,False,unknown
22,13,3,4,0,1,1,2,1,53,104,False,,False,True,False,False,True,family_operator_candidate
23,9,4,4,0,1,1,2,0,54,108,True,64k4A,True,False,False,True,True,rigid_arithmetic_control
24,28,0,6,0,0,1,2,5,45,80,False,,False,False,False,False,False,unknown
25,24,1,6,0,0,1,2,4,46,84,False,,False,False,False,False,False,unknown
26,20,2,6,0,0,1,2,3,47,88,False,,False,False,False,False,False,unknown
27,16,3,6,0,0,1,2,2,48,92,False,,False,False,False,False,False,unknown
28,12,4,6,0,0,1,2,1,49,96,False,,False,True,False,False,True,family_operator_candidate
29,18,0,6,0,2,0,2,3,51,96,False,,False,False,False,False,False,unknown
30,14,1,6,0,2,0,2,2,52,100,False,,False,False,False,False,False,unknown
31,10,2,6,0,2,0,2,1,53,104,False,,False,True,False,False,True,family_operator_candidate
32,21,0,8,0,1,0,2,4,46,84,False,,False,False,False,False,False,unknown
33,17,1,8,0,1,0,2,3,47,88,False,,False,False,False,False,False,unknown
34,13,2,8,0,1,0,2,2,48,92,False,,False,False,False,False,False,unknown
35,24,0,10,0,0,0,2,5,41,72,False,,False,False,False,False,False,unknown
36,20,1,10,0,0,0,2,4,42,76,False,,False,False,False,False,False,unknown
37,16,2,10,0,0,0,2,3,43,80,False,,False,False,False,False,False,unknown
38,34,0,1,0,2,0,1,5,45,80,False,,False,False,False,False,False,unknown
39,30,1,1,0,2,0,1,4,46,84,False,,False,False,False,False,False,unknown
40,26,2,1,0,2,0,1,3,47,88,False,,False,False,False,False,False,unknown
41,22,3,1,0,2,0,1,2,48,92,False,,False,False,False,False,False,unknown
42,18,4,1,0,2,0,1,1,49,96,False,,False,True,False,False,True,family_operator_candidate
43,14,5,1,0,2,0,1,0,50,100,True,16k4A,True,False,False,True,True,rigid_arithmetic_control
44,32,0,1,1,2,0,1,3,51,96,False,,False,False,False,False,False,unknown
45,27,0,3,1,1,0,1,4,46,84,False,,False,False,False,False,False,unknown
46,23,1,3,1,1,0,1,3,47,88,False,,False,False,False,False,False,unknown
47,19,2,3,1,1,0,1,2,48,92,False,,False,False,False,False,False,unknown
48,40,0,5,0,0,0,1,7,35,56,False,,False,False,False,False,False,unknown
49,36,1,5,0,0,0,1,6,36,60,False,,False,False,False,False,False,unknown
50,32,2,5,0,0,0,1,5,37,64,False,,False,False,False,False,False,unknown
51,28,3,5,0,0,0,1,4,38,68,False,,False,False,False,False,False,unknown
52,24,4,5,0,0,0,1,3,39,72,False,,False,False,False,False,False,unknown
53,20,5,5,0,0,0,1,2,40,76,False,,False,False,False,False,False,unknown
54,16,6,5,0,0,0,1,1,41,80,False,,False,True,False,False,True,family_operator_candidate
55,37,0,3,0,1,0,1,6,40,68,False,,False,False,False,False,False,unknown
56,33,1,3,0,1,0,1,5,41,72,False,,False,False,False,False,False,unknown
57,29,2,3,0,1,0,1,4,42,76,False,,False,False,False,False,False,unknown
58,25,3,3,0,1,0,1,3,43,80,False,,False,False,False,False,False,unknown
59,21,4,3,0,1,0,1,2,44,84,False,,False,False,False,False,False,unknown
60,17,5,3,0,1,0,1,1,45,88,False,,False,True,False,False,True,family_operator_candidate
61,13,6,3,0,1,0,1,0,46,92,True,64k4C,True,False,False,True,True,rigid_arithmetic_control
62,36,0,0,2,0,0,0,5,41,72,False,,False,False,False,False,False,unknown
63,32,1,0,2,0,0,0,4,42,76,False,,False,False,False,False,False,unknown
64,28,2,0,2,0,0,0,3,43,80,False,,False,False,False,False,False,unknown
65,24,3,0,2,0,0,0,2,44,84,False,,False,False,False,False,False,unknown
