arrangement,perturbation_polynomial,ordinary_node_promotion,predicted_blocks,predicted_degree,G1,G2,block_scheme,saturated_jacobian_ideal,block_jacobian_containment,ordinary_node_verified,defect,block_scheme_hash
84,FROZEN_EXACT,UNKNOWN,28,112,VERIFIED,VERIFIED,VERIFIED,UNKNOWN,VERIFIED,UNKNOWN,UNKNOWN,428406a6d72603cea07594fbbeac4aacdd35ed7437a203a77751d7e16a6b5eb7
84a,FROZEN_EXACT,UNKNOWN,28,112,VERIFIED,VERIFIED,VERIFIED,UNKNOWN,VERIFIED,UNKNOWN,UNKNOWN,3aa8cec40c439677fe6774549169d4e5507afc02b10df102b475def647d93e98
