claim_level	directed	evidence_type	join_state	relationship_id	relationship_type	source_id	target_id
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:e21d7b2db985cc7d1074f34714f458ea6f3de979e1f76d15e868362eee33fdd9	source_crosswalk	ckc:31	cynk_meyer_table1:31
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:1ae01b4fe378293f1a685533c57fbbdde84bf6ca47ee158896fa3bcff196a572	source_crosswalk	ckc:32	cynk_meyer_table1:32
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:8c2fea6a4fb8f58097dd157d02abf04d68376494edfcf04fa41a20132e07814a	source_crosswalk	ckc:33	cynk_meyer_table1:33
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:186f5f7c4e661cfd03dca4f96e8ad3a57e17c73ba0f99b633995ac8abfb26fc6	source_crosswalk	ckc:34	cynk_meyer_table1:34
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:d2a420fd83929147f5b3b169c3c9a7a130a1b4ce47e698d237b0e8528e741074	source_crosswalk	ckc:35	cynk_meyer_table1:35
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:315c84dcae99000df5fb1647d149e730c4d751dfedf53015e31253bbedf9cea5	source_crosswalk	ckc:36	cynk_meyer_table1:36
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:1aa07d6f1d88946b441703074760d29b7d212b2d791f95933006e713e6129ede	source_crosswalk	ckc:37	cynk_meyer_table1:37
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:edcc0fcb6a5be15cb4ffd2e3e956705e2a437062e24a312c8fe7b6fec3122c0d	source_crosswalk	ckc:38	cynk_meyer_table1:38
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:adbb3d4ceee0c16e19d9ca3d6634c2589f744042c4cd3442fb19abac73222407	source_crosswalk	ckc:39	cynk_meyer_table1:39
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:0f713ef83f513f73fe7988cb2b1a6d6720d19483b3407267f45139b13e5899cb	source_crosswalk	ckc:40	cynk_meyer_table1:40
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:729b71875e22c97ed9da06d43697478d064841a28cf523ddcc337b0a0a623d56	source_crosswalk	ckc:41	cynk_meyer_table1:41
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:60828fceb4ba438baca6bd669bcedb177cde10f86983621915f33552effe5617	source_crosswalk	ckc:42	cynk_meyer_table1:42
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:76cffb374ebfc5ef8da45d5295fc3699a5832dfa0e1e205cb8ddda78578894d6	source_crosswalk	ckc:43	cynk_meyer_table1:43
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:b16410dbb8b0074a8bdc02dfd75111ff444751798b19289121664da3520f5f43	source_crosswalk	ckc:44	cynk_meyer_table1:44
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:505388bda6ee47cbf7cc7c782e3f4c2a1ba5b9728cd2b8aa38c3720f17d749b0	source_crosswalk	ckc:45	cynk_meyer_table1:45
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:4c407e9223d372833455a60999d85f9908097f5559c6f78b8135f5da3155ab19	source_crosswalk	ckc:46	cynk_meyer_table1:46
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:833cfeb98e958d992744f3f221cf5ab7269adf81db99c9534596a7f059e0a1e9	source_crosswalk	ckc:47	cynk_meyer_table1:47
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:350056f96e1c45ee5f7916c1b796fed1876d89e722814dcffd049dc84a85ed8b	source_crosswalk	ckc:48	cynk_meyer_table1:48
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:fa29bddb89553e1cb653a4c7c76cf816081041218b62869815808a516ac7b37b	source_crosswalk	ckc:49	cynk_meyer_table1:49
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:d7d40c183974c38a1c737cbdd6c39fc358e5ba27d70d6e8e2d68d2e617e0bc51	source_crosswalk	ckc:50	cynk_meyer_table1:50
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:dfc01bdbcd128817ec771ddc4163ff4153a8a1929ef9f1ff31eb64c49d3fb2fe	source_crosswalk	ckc:51	cynk_meyer_table1:51
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:9c8790000b99b7df4c7bce9cb4225c4ccd4764170a6a4b12932132b158fbbcbc	source_crosswalk	ckc:52	cynk_meyer_table1:52
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:f59a6f16c3fb5c71d2036c06302a48e89f89eedaca3395bc625779cba9276696	source_crosswalk	ckc:53	cynk_meyer_table1:53
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:a61157522903a8a6ab1e0e34e226d41367f48bd22b217c6fbf14d1406007c4e5	source_crosswalk	ckc:54	cynk_meyer_table1:54
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:e5460355ad31d195be9415e861972706415f3d856e176d021fc19d301e603893	source_crosswalk	ckc:55	cynk_meyer_table1:55
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:b2d4004f84a4de1e6f84739eb2701a12abea0520ee184adda1ed6cc8acd8dc34	source_crosswalk	ckc:56	cynk_meyer_table1:56
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:3efd487024ed5bdd5344e52561a797cd37f96ade121adfdbdb1aaae304b2d30f	source_crosswalk	ckc:57	cynk_meyer_table1:57
