assembly_computation_status	assembly_equivariant_fingerprint	assembly_integral_fingerprint	assembly_rational_fingerprint	automorphism_group_order	ckc_equation_type	ckc_has_parameters	ckc_id	ckc_source_extraction_status	ckc_validation_tier	claim_level_firewall	cokernel_dim_Q	corpus_release_fingerprint	cynk_meyer_id	double_line_orbit_sizes	entity_level	equivariant_signature	hodge	hodge_signature	identity_resolution_status	integral_signature	kernel_dim_Q	local_inventory	local_signature	matrix_hash	matrix_path	matrix_status	multiple_point_orbit_sizes	plane_orbit_sizes	presentation_id	presentation_kind	rank_F2	rank_Q	rational_signature	smith_normal_form	smith_normal_form_compact	source_assembly_available	source_blocker	torsion_invariant_factors	torsion_primes	universe_id
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	11	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	11		PARAMETERIZED_FAMILY		"{""euler"":120,""h11"":61,""h12"":1}"	h12=1;h11=61;euler=120	presentation_level_only_geometry_identity_unresolved			"{""l3"":3,""p3"":9,""p4_0"":1,""p4_1"":5,""p5_0"":0,""p5_1"":1,""p5_2"":2}"	p3=9;p4_0=1;p4_1=5;p5_0=0;p5_1=1;p5_2=2;l3=3			not_applicable_uncomputed			11	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:11
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	12	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	12		PARAMETERIZED_FAMILY		"{""euler"":96,""h11"":51,""h12"":3}"	h12=3;h11=51;euler=96	presentation_level_only_geometry_identity_unresolved			"{""l3"":3,""p3"":12,""p4_0"":0,""p4_1"":11,""p5_0"":0,""p5_1"":0,""p5_2"":1}"	p3=12;p4_0=0;p4_1=11;p5_0=0;p5_1=0;p5_2=1;l3=3			not_applicable_uncomputed			12	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:12
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	13	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	13		PARAMETERIZED_FAMILY		"{""euler"":108,""h11"":56,""h12"":2}"	h12=2;h11=56;euler=108	presentation_level_only_geometry_identity_unresolved			"{""l3"":3,""p3"":9,""p4_0"":0,""p4_1"":9,""p5_0"":0,""p5_1"":1,""p5_2"":1}"	p3=9;p4_0=0;p4_1=9;p5_0=0;p5_1=1;p5_2=1;l3=3			not_applicable_uncomputed			13	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:13
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	14	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	14		PARAMETERIZED_FAMILY		"{""euler"":120,""h11"":61,""h12"":1}"	h12=1;h11=61;euler=120	presentation_level_only_geometry_identity_unresolved			"{""l3"":3,""p3"":6,""p4_0"":0,""p4_1"":7,""p5_0"":0,""p5_1"":2,""p5_2"":1}"	p3=6;p4_0=0;p4_1=7;p5_0=0;p5_1=2;p5_2=1;l3=3			not_applicable_uncomputed			14	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:14
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	15	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	15		PARAMETERIZED_FAMILY		"{""euler"":96,""h11"":51,""h12"":3}"	h12=3;h11=51;euler=96	presentation_level_only_geometry_identity_unresolved			"{""l3"":2,""p3"":18,""p4_0"":0,""p4_1"":6,""p5_0"":1,""p5_1"":0,""p5_2"":1}"	p3=18;p4_0=0;p4_1=6;p5_0=1;p5_1=0;p5_2=1;l3=2			not_applicable_uncomputed			15	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:15
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	16	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	16		PARAMETERIZED_FAMILY		"{""euler"":104,""h11"":55,""h12"":3}"	h12=3;h11=55;euler=104	presentation_level_only_geometry_identity_unresolved			"{""l3"":2,""p3"":22,""p4_0"":0,""p4_1"":2,""p5_0"":0,""p5_1"":2,""p5_2"":1}"	p3=22;p4_0=0;p4_1=2;p5_0=0;p5_1=2;p5_2=1;l3=2			not_applicable_uncomputed			16	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:16
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	17	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	17		PARAMETERIZED_FAMILY		"{""euler"":108,""h11"":56,""h12"":2}"	h12=2;h11=56;euler=108	presentation_level_only_geometry_identity_unresolved			"{""l3"":2,""p3"":18,""p4_0"":1,""p4_1"":2,""p5_0"":0,""p5_1"":2,""p5_2"":1}"	p3=18;p4_0=1;p4_1=2;p5_0=0;p5_1=2;p5_2=1;l3=2			not_applicable_uncomputed			17	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:17
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	18	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	18		PARAMETERIZED_FAMILY		"{""euler"":112,""h11"":57,""h12"":1}"	h12=1;h11=57;euler=112	presentation_level_only_geometry_identity_unresolved			"{""l3"":2,""p3"":14,""p4_0"":2,""p4_1"":2,""p5_0"":0,""p5_1"":2,""p5_2"":1}"	p3=14;p4_0=2;p4_1=2;p5_0=0;p5_1=2;p5_2=1;l3=2			not_applicable_uncomputed			18	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:18
computed_exact_two_stratum_source_assembly	equivariant:a96d2a82fd0f41fd3606d6e445e84adb3e8b97286fedf570a39e218187987a8f	integral:d9f43e2cd1636599af3ad9b9f78e990549ebce9d2d0dfbadda8ba36f266dfec8	rational:3ce290c27529759754ba0fe56236528f7dacbb99361d2aa6c9f14e1d405c8c78	4	fixed_rational	NO	19	extracted	S2_HODGE_TABLE_LINKED	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE	1	8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	19	[1,1,2,2,2,2,4,4,4]	PRESENTATION	equivariant:71ecedc5c0d8e62e2d5ad513a3a1e2de85b64bcbd1bc7b5e842a71b74282c6fa	"{""euler"":92,""h11"":50,""h12"":4}"	h12=4;h11=50;euler=92	presentation_level_only_geometry_identity_unresolved	integral:953fa580d4a85338437070ca47aadd06e1af7e29b42b2fc32552fb4bd13e5216	4	"{""l3"":2,""p3"":9,""p4_0"":8,""p4_1"":0,""p5_0"":2,""p5_1"":0,""p5_2"":0}"	p3=9;p4_0=8;p4_1=0;p5_0=2;p5_1=0;p5_2=0;l3=2	cf942a75cc7eb6582bf88b38600b3014286e58029a3f134c727a051eeb24e13d	research_outputs/hodgecy_ii/source_assembly_deep_dive/all_456_source_assembly_matrices/source_assembly_matrix_19.json	stored_exact_integer_incidence_matrix	[1,1,1,1,1,2,2,2,4,4]	[1,1,2,2,2]	19	eight_plane_arrangement_fixed_candidate	16	18	rational:42a37a995796f24d53167f1577da27c40ba41177fbdf2fa97127b1e748260cb0	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,20]	1^16,2,20	True		[2,20]	[2,5]	ckc:19
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	20	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	20		PARAMETERIZED_FAMILY		"{""euler"":96,""h11"":51,""h12"":3}"	h12=3;h11=51;euler=96	presentation_level_only_geometry_identity_unresolved			"{""l3"":2,""p3"":21,""p4_0"":1,""p4_1"":4,""p5_0"":0,""p5_1"":1,""p5_2"":1}"	p3=21;p4_0=1;p4_1=4;p5_0=0;p5_1=1;p5_2=1;l3=2			not_applicable_uncomputed			20	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:20
