arrangement_id,representative_status,source_reference,local_inventory_signature,hodge_signature,h12,h11,euler,incidence_table_size,automorphism_group_order,gluing_matrix_shape,rank_Q,rank_F2,kernel_dim_Q,cokernel_dim_Q,smith_normal_form,plane_orbit_sizes,double_line_orbit_sizes,multiple_point_orbit_sizes,character_C1_distribution,character_C0_distribution,equivariant_signature
84,validated,Existing HodgeCY arrangement_84 representative; Cynk--Meyer/Cynk--Kocel--Cynk control data,p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0,h12=0;h11=40;euler=80,0,40,80,10,6,26x28,26,23,2,0,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,12","1,1,3,3","1,3,3,3,3,3,3,3,6","1,1,3,3,3,3,3,3,6","{1: 2, 8: 3, 28: 1}","{2: 2, 8: 3, 26: 1}","{""automorphism_group_order"": 6, ""character_C0"": ""2:2;26:1;8:3"", ""character_C1"": ""1:2;28:1;8:3"", ""double_line_orbit_sizes"": ""1,3,3,3,3,3,3,3,6"", ""multiple_point_orbit_sizes"": ""1,1,3,3,3,3,3,3,6"", ""plane_orbit_sizes"": ""1,1,3,3"", ""rank_F2"": 23, ""rank_Q"": 26, ""smith_normal_form"": ""1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,12""}"
84a,validated,Existing HodgeCY arrangement_84a representative; Cynk--Meyer/Cynk--Kocel--Cynk control data,p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0,h12=0;h11=40;euler=80,0,40,80,10,24,26x28,26,21,2,0,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,12","4,4","4,6,6,12","4,4,6,12","{0: 6, 1: 8, 4: 3, 8: 6, 28: 1}","{0: 6, 2: 11, 8: 6, 26: 1}","{""automorphism_group_order"": 24, ""character_C0"": ""0:6;2:11;26:1;8:6"", ""character_C1"": ""0:6;1:8;28:1;4:3;8:6"", ""double_line_orbit_sizes"": ""4,6,6,12"", ""multiple_point_orbit_sizes"": ""4,4,6,12"", ""plane_orbit_sizes"": ""4,4"", ""rank_F2"": 21, ""rank_Q"": 26, ""smith_normal_form"": ""1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,12""}"
