cluster_id,left_arrangement,right_arrangement,shared_inventory,left_hodge,right_hodge,left_automorphism_group_order,right_automorphism_group_order,left_rank_Q,right_rank_Q,left_rank_F2,right_rank_F2,differences
ckc_fixed_rational_inventory_cluster_003,239,240,p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0,h12=None;h11=None;euler=None,h12=None;h11=None;euler=None,24,6,26,26,21,23,automorphism_group_order; rank_F2; smith_normal_form; plane_orbits; double_line_orbits; multiple_point_orbits
ckc_fixed_rational_inventory_cluster_003,239,241,p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0,h12=None;h11=None;euler=None,h12=None;h11=None;euler=None,24,32,26,24,21,24,automorphism_group_order; rank_Q; rank_F2; kernel_dim_Q; cokernel_dim_Q; smith_normal_form; plane_orbits; double_line_orbits; multiple_point_orbits
ckc_fixed_rational_inventory_cluster_003,240,241,p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0,h12=None;h11=None;euler=None,h12=None;h11=None;euler=None,6,32,26,24,23,24,automorphism_group_order; rank_Q; rank_F2; kernel_dim_Q; cokernel_dim_Q; smith_normal_form; plane_orbits; double_line_orbits; multiple_point_orbits
