cluster_id,cluster_type,member_count,members,inventory_signature,hodge_signatures,equivariant_data_varies,automorphism_group_orders,rank_Q_values,rank_F2_values
ckc_fixed_rational_inventory_cluster_001,singularity_inventory,1,93,p3=13;p4_0=9;p4_1=0;p5_0=1;p5_1=0;p5_2=0;l3=1,h12=None;h11=None;euler=None,False,4,23,21
ckc_fixed_rational_inventory_cluster_002,singularity_inventory,1,69,p3=14;p4_0=6;p4_1=0;p5_0=2;p5_1=0;p5_2=0;l3=1,h12=4;h11=38;euler=68,False,4,21,20
ckc_fixed_rational_inventory_cluster_003,singularity_inventory,3,"239,240,241",p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0,h12=None;h11=None;euler=None,True,"24,6,32","26,26,24","21,23,24"
ckc_fixed_rational_inventory_cluster_004,singularity_inventory,1,245,p3=20;p4_0=9;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0,h12=None;h11=None;euler=None,False,2,27,24
ckc_fixed_rational_inventory_cluster_005,singularity_inventory,1,1,p3=4;p4_0=5;p4_1=0;p5_0=4;p5_1=0;p5_2=0;l3=4,h12=1;h11=69;euler=136,False,8,13,11
ckc_fixed_rational_inventory_cluster_006,singularity_inventory,1,32,p3=8;p4_0=11;p4_1=0;p5_0=1;p5_1=0;p5_2=0;l3=2,h12=4;h11=46;euler=84,False,4,20,18
ckc_fixed_rational_inventory_cluster_007,singularity_inventory,1,238,p3=8;p4_0=12;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0,h12=None;h11=None;euler=None,False,192,20,16
ckc_fixed_rational_inventory_cluster_008,singularity_inventory,1,3,p3=8;p4_0=6;p4_1=0;p5_0=3;p5_1=0;p5_2=0;l3=3,h12=3;h11=59;euler=112,False,6,16,13
ckc_fixed_rational_inventory_cluster_009,singularity_inventory,1,19,p3=9;p4_0=8;p4_1=0;p5_0=2;p5_1=0;p5_2=0;l3=2,h12=4;h11=50;euler=92,False,4,18,16
