arrangement_id,double_line_count,p3_count,p4_count,p5_count,p4_collinearity_edge_count,p3_p4_collinear_pair_count,line_profile_summary,colored_graph_isomorphism_status,conclusion
84,28,16,10,0,39,84,"3x[3, 3, 3, 3, 4]; 18x[3, 3, 4, 4]; 7x[4, 4, 4]",False,separated_by_concurrency_profile
84a,28,16,10,0,42,72,"6x[3, 3, 3, 3, 4]; 12x[3, 3, 4, 4]; 10x[4, 4, 4]",False,separated_by_concurrency_profile
